component_id,component_name,dashboards,問題現況,原因,處理方式,處理結果,狀態
171,防空避難設施,圖資資訊(台北) / 防災都市(雙北),"DB 5,917 筆 vs 資料源 6,052 筆","資料擁有單位重新發佈資料集時會產生新 RID,ETL 原本引用舊 RID 無法自動跟上","已調整為依 PAGE_ID 動態取得最新 RID,另針對新版資料集欄位調整改名相容","DB 更新至 6,052 筆與資料源一致",已修復
156,生育補助合約醫院,婦幼資源(台北),資料無法更新至 DB,資料擁有單位更新欄位名稱、值格式(V→1)與行政區代碼格式(8 碼→7 碼),"ETL rename 邏輯相容新舊欄位與代碼格式,並改為動態 RID",DB 68 筆對齊資料源最新版本,已修復
59,水位監測,防災都市(台北),DB 無資料,資料擁有單位將欄位「站碼」更名為「設施編號」,ETL rename 映射到 DB 既有欄位名,DB 233 筆對齊資料源,已修復
257,各行政區流感疫苗接種醫院數量統計,健康守護(台北),資料無法更新,資料擁有單位將疫苗提供符號從「◎」改為「1」,ETL 符號判斷邏輯同時相容新舊格式,DB 384 筆(資料源 391 扣除 7 家未提供任何流感項目的機構),已修復
261,AED資源設置分布概況,商圈活化(台北+雙北),DB 無資料,"資料擁有單位移除欄位「縣市別代碼」,改以「行政區域代碼」提供",ETL 從「行政區域代碼」衍生市代碼,"DB 2,728 筆對齊資料源",已修復
155,哺集乳室分佈,婦幼資源(台北),資料無法更新,"資料擁有單位部分機構將多支分機/電話合併寫在單一欄位,長度超過 DB schema 限制",ETL 將該欄位正規化並對齊 DB schema 長度,DB 526 筆正常運作,已修復
249,公廁分布(臺北),商圈活化(台北+雙北),"DB 7,031 筆 vs 資料源 7,217 筆","環境部 MOENV API v2 回傳格式由 dict 改為 list,另將欄位名由 country/city 改為 county/areacode","ETL helper 相容新舊格式,並在 rename 層對齊 DB schema","DB 7,217 筆對齊資料源",已修復
249,公廁分布(新北),商圈活化(雙北),DB 無資料,同上(環境部 MOENV API 格式改版),同上,"DB 6,017 筆對齊資料源",已修復
247,旅館統計,商圈活化(台北+雙北),資料無法更新,"資料源 CSV 編碼為 BIG-5/cp950 而非 UTF-8,直接讀取會導致欄位名稱亂碼;另地址欄位含郵遞區號影響行政區擷取","ETL 依序嘗試 cp950 → big5 → utf-8 解碼,並改用 regex 擷取行政區",資料正常寫入 DB,已修復
251,無障礙設施,商圈活化(台北+雙北),資料未更新,"資料擁有單位更新資料集後,ETL 排程需重新啟動才會同步",重新啟動排程並手動補抓,DB 從 199 筆 → 200 筆(市場新增 1 筆),已修復
214,扶養比及老化指數(新北),健康守護(雙北),DB 無資料,"先前 ETL 僅取得部分資料源分頁內容,過濾後為空。另排程週期為每年 12/25",手動補抓,DB 25 筆(2000~2024)對齊資料源,已修復
214,扶養比及老化指數(台北)2025 年,健康守護(台北),缺 2025 年度資料,"排程週期為每年 12/25,主計處 2025 資料發佈後尚未到下次排程時點",手動補抓,DB 58 筆(1968~2025)對齊資料源,已修復
多個,24 支 data.taipei 來源 DAG 預防性強化,多個 dashboard,"目前顯示正常,但潛在風險","多支 ETL 原本引用寫死的資料 RID,資料擁有單位改版時可能無法自動跟上",統一改為依 PAGE_ID 動態取得當前 RID,"所有 DAG 未來改版可自動跟上,不影響當前行為","預防性強化,已完成"
150,育兒支持資源 - 私立托嬰中心,婦幼資源(台北),DB 161 筆 vs 資料源 223 筆,"資料擁有單位(社會局)僅提供 CSV 下載介面,關閉對應 JSON API;另部分機構名稱長度超過 DB schema","ETL 加 CSV fallback 路徑,並對字串欄位做長度對齊",DB 223 筆對齊資料源,已修復
216,全市年齡分區,健康守護(台北+雙北),"儀表板人口總和顯示約 495 萬,與實際台北人口 243 萬有落差","後端 query_chart SQL 未對「統計類型」欄位過濾,使「男 + 女 + 計」重複加總導致數字為真實值的兩倍",建議後端(BE)在 query_chart SQL 加入統計類型為「計」的過濾條件,n/a,待 BE 調整
172,狹小巷弄程度分佈,防災都市(台北),DB 283 筆 vs 資料源 274 筆,"ETL 與路段 geometry 合併時,同名跨區街道(如同一巷弄名出現在兩個行政區)被複製成多筆","建議調整 JOIN 條件為 (行政區, 街道名) 複合鍵",待調整 ETL,待處理
140,建照使照發照量,城市建設(台北),時間序列圖表只顯示當月資料,"資料源為當月新發建照/使照 snapshot,ETL 每次覆蓋寫入,未累積歷史","建議調整為保留歷史模式,或後端採讀取 history table",待討論,待討論
16,山坡地風險地點,圖資資訊(台北) / 防災都市(台北),"DB 儲存全國資料,非僅台北",資料擁有單位(農業部)提供的是全國 SHP。ETL 未在來源端過濾縣市;但後端 query_chart 已在顯示端加台北過濾,"儀表板顯示正確。若要節省空間,可在 ETL 端加縣市過濾",儀表板顯示正確,"非問題,維持現狀"
250,偷竊統計(汽車竊盜),商圈活化(台北+雙北),"資料源 CSV 3,343 筆但有效資料僅 633 筆","資料擁有單位匯出的 CSV 於實際資料列後追加約 2,710 列空白 row",建議向資料擁有單位反映 CSV 匯出格式,633 筆為真實資料;ETL 過濾空白列邏輯正確,待向資料擁有單位反映
204|205|206,海砂屋列管(案件數/戶數),防災都市(台北),"儀表板 X 軸年份僅顯示到 2020 且年份重複,2021~2024 未顯示",儀表板前端圖表元件處理多系列時間資料的邏輯問題。DB/SQL 資料都正確,"待前端(FE)調整圖表元件,或後端改為 pivot 格式輸出",DB 資料完整到 2024(2025 年度資料擁有單位尚未發佈),待 FE 處理
30,閒置市有財產,圖資資訊(台北),DB 20 筆對齊資料源 20 筆,資料擁有單位於 2026-04-22 更新資料集(由 65 筆縮減為 20 筆),無需處理,儀表板顯示正確,非問題
109|213|219,自行車道/自行車道統計/自行車道路網圖資,圖資資訊(台北+雙北) / 務實交通(雙北),DB 488 筆 vs TDX API 493 筆,小量差異(5 筆)可能來自 geometry WKT 解析失敗被 ETL 過濾,需進一步確認 5 筆 geometry 內容,待分析,待分析
多個,crime 類 5 支 DAG(竊盜/搶劫),商圈活化(台北+雙北),曾於 3-4 月出現排程異常,"疑似基礎設施偶發性問題,非 ETL 邏輯錯誤",手動重新觸發後全部恢復正常,5 支 DAG 已正常運作,已恢復
N/A,主計處年度統計類資料(海砂屋 / 扶養比等),多個 dashboard,部分年度統計資料最新年份未更新,"資料擁有單位(主計處)年度統計發佈週期較長,需年度結算後隔年始公布","無需處理。ETL 排程正常運作,待資料擁有單位發佈新年度即可自動更新",ETL 邏輯正常,外部資料發佈週期
